hora,cpu_porcentagem,ram_porcentagem,disco_porcentagem
2025-07-04T08:36:39.015576,21.1,45.4,49.0
2025-07-04T08:36:40.062657,3.9,45.4,49.0
2025-07-04T08:36:45.023901,10.6,45.4,49.0
2025-07-04T08:36:46.133070,15.8,45.4,49.0
2025-07-04T08:36:51.043157,2.6,45.1,49.0
2025-07-04T08:36:52.167487,2.5,45.0,49.0
2025-07-04T08:36:57.056703,1.7,44.6,49.0
2025-07-04T08:36:58.214069,1.5,44.6,49.0
2025-07-04T08:37:03.072948,0.9,44.5,49.0
2025-07-04T08:37:04.246659,0.8,44.5,49.0
2025-07-04T08:37:09.085028,1.2,44.5,49.0
2025-07-04T08:37:10.289133,1.0,44.5,49.0
2025-07-04T08:37:15.091373,2.5,44.5,49.0
2025-07-04T08:37:16.341082,18.3,44.5,49.0
2025-07-04T08:37:21.106488,2.1,44.5,49.0
2025-07-04T08:37:22.383299,9.2,44.5,49.0
2025-07-04T08:37:27.110665,1.8,44.5,49.0
2025-07-04T08:37:28.427040,1.8,44.6,49.0
2025-07-04T08:37:33.118971,4.8,44.6,49.0
2025-07-04T08:37:34.469775,6.8,44.6,49.0
2025-07-04T08:37:39.130520,7.3,44.7,49.0
2025-07-04T08:37:40.532429,5.5,44.7,49.0
2025-07-04T08:37:45.142679,2.2,44.7,49.0
2025-07-04T08:37:46.597248,1.6,44.7,49.0
2025-07-04T08:37:51.163781,1.8,44.6,49.0
2025-07-04T08:37:52.649160,1.6,44.6,49.0
2025-07-04T08:37:57.173533,1.0,44.6,49.0
2025-07-04T08:37:58.691056,0.7,44.6,49.0
2025-07-04T08:38:03.182345,1.3,44.6,49.0
2025-07-04T08:38:04.745958,0.8,44.6,49.0
2025-07-04T08:38:09.193285,1.5,44.5,49.0
2025-07-04T08:38:10.788495,1.2,44.5,49.0
2025-07-04T08:38:15.213182,1.8,44.5,49.0
2025-07-04T08:38:16.833054,3.0,44.5,49.0
2025-07-04T08:38:21.233831,1.0,44.6,49.0
2025-07-04T08:38:22.890978,2.1,44.6,49.0
2025-07-04T08:38:27.247987,3.2,44.6,49.0
2025-07-04T08:38:28.945130,3.1,44.6,49.0
2025-07-04T08:38:33.260908,2.1,44.6,49.0
2025-07-04T08:38:34.993182,1.8,44.5,49.0
2025-07-04T08:38:39.278910,0.6,44.6,49.0
2025-07-04T08:38:41.078398,3.0,44.6,49.0
2025-07-04T08:38:45.285451,2.5,44.6,49.0
2025-07-04T08:38:47.139924,1.3,44.6,49.0
2025-07-04T08:38:51.290705,1.7,44.7,49.0
2025-07-04T08:38:53.197983,2.1,44.7,49.0
2025-07-04T08:38:57.294542,3.3,44.6,49.0
2025-07-04T08:38:59.257996,1.0,44.5,49.0
2025-07-04T08:39:03.303479,3.1,44.5,49.0
2025-07-04T08:39:05.317119,3.5,44.5,49.0
2025-07-04T08:39:09.314997,6.4,44.8,49.0
2025-07-04T08:39:11.368746,8.0,44.7,49.0
2025-07-04T08:39:15.322691,3.8,44.7,49.0
2025-07-04T08:39:17.424409,3.3,44.7,49.0
2025-07-04T08:39:21.331247,15.7,44.7,49.0
2025-07-04T08:39:23.514685,11.2,44.7,49.0
2025-07-04T08:39:27.348984,4.1,44.8,49.0
2025-07-04T08:39:29.566979,3.4,44.8,49.0
2025-07-04T08:39:33.364197,2.2,44.7,49.0
2025-07-04T08:39:35.626027,1.4,44.7,49.0
2025-07-04T08:39:39.378626,1.2,44.6,49.0
2025-07-04T08:39:41.695361,2.1,44.6,49.0
2025-07-04T08:39:45.398022,4.6,44.7,49.0
2025-07-04T08:39:47.760832,1.7,44.7,49.0
2025-07-04T08:39:51.405633,2.6,44.7,49.0
2025-07-04T08:39:53.809356,0.9,44.7,49.0
2025-07-04T08:39:57.422116,1.9,44.6,49.0
2025-07-04T08:39:59.857294,1.2,44.6,49.0
2025-07-04T08:40:03.430517,1.4,44.8,49.0
2025-07-04T08:40:05.919260,2.5,44.8,49.0
2025-07-04T08:40:09.442727,8.3,45.2,49.0
2025-07-04T08:40:11.974870,1.7,44.8,49.0
2025-07-04T08:40:15.459905,3.1,44.7,49.0
2025-07-04T08:40:18.034792,21.0,44.8,49.0
2025-07-04T08:40:21.476711,3.4,44.9,49.0
2025-07-04T08:40:24.126202,3.6,44.9,49.0
2025-07-04T08:40:27.494129,3.2,44.8,49.0
2025-07-04T08:40:30.182316,4.4,45.0,49.0
2025-07-04T08:40:33.510710,1.8,45.0,49.0
2025-07-04T08:40:36.248445,3.3,45.0,49.0
2025-07-04T08:40:39.523322,1.9,44.9,49.0
2025-07-04T08:40:42.297667,1.7,45.0,49.0
2025-07-04T08:40:45.529900,1.7,44.9,49.0
2025-07-04T08:40:48.351997,1.8,44.9,49.0
2025-07-04T08:40:51.538421,3.4,44.9,49.0
2025-07-04T08:40:54.407190,0.8,44.9,49.0
2025-07-04T08:40:57.548855,0.5,44.9,49.0
2025-07-04T08:41:00.496441,0.8,44.9,49.0
2025-07-04T08:41:03.559474,1.3,44.9,49.0
2025-07-04T08:41:06.569542,1.9,44.9,49.0
2025-07-04T08:41:09.574457,1.1,44.9,49.0
2025-07-04T08:41:12.631783,0.6,44.9,49.0
2025-07-04T08:41:15.587608,0.9,44.9,49.0
2025-07-04T08:41:18.691682,1.0,44.8,49.0
2025-07-04T08:41:21.591436,0.7,44.8,49.0
2025-07-04T08:41:24.751809,2.1,44.9,49.0
2025-07-04T08:41:27.605865,2.2,44.8,49.0
2025-07-04T08:41:30.803265,0.9,44.8,49.0
2025-07-04T08:41:33.615712,1.0,44.8,49.0
2025-07-04T08:41:36.852740,1.7,43.4,49.0
2025-07-04T08:41:39.628937,0.5,43.4,49.0
2025-07-04T08:41:42.904770,1.6,43.4,49.0
2025-07-04T08:41:45.647303,1.8,43.4,49.0
2025-07-04T08:41:48.957561,0.5,43.4,49.0
2025-07-04T08:41:51.665642,4.2,43.8,49.0
2025-07-04T08:41:55.010898,4.4,43.6,49.0
2025-07-04T08:41:57.684572,10.9,43.9,49.0
2025-07-04T08:42:01.061551,4.3,43.9,49.0
2025-07-04T08:42:03.688234,3.8,42.9,49.0
2025-07-04T08:42:07.116138,6.6,43.0,49.0
